keyword,published_at,company_code,views,comment,title
상한가,2024-01-29 14:02:00,036460,576,2,상한가가
상한가,2020-03-08 13:42:00,040350,732,0,월요일 상한가~~■■■■
상한가,2020-12-27 14:18:00,015750,499,0,상한가
상한가,2020-12-29 09:14:00,091990,156,1,박셀바이오  상한가
상한가,2023-02-16 13:15:00,376180,109,1,주포형 상한가 가자구요?^^
상한가,2024-01-10 11:18:00,048870,208,0,상한가 칠 날이 1월중에 온다~~~ 한 표~~~
상한가,2022-10-28 13:49:00,001570,127,0,어쨌든  상한가다////////////
상한가,2024-01-17 09:07:00,334970,113,0,상한가 못간다 물린개미새퀴들많아서
상한가,2021-08-05 10:31:00,206560,113,0,상한가
상한가,2023-02-21 10:05:00,071090,101,0,저점 확인 상한가 가자
상한가,2021-02-09 10:23:00,234100,88,0,상한가가즈아~~
상한가,2024-06-10 12:30:00,004090,34,0,“말 한마디에 석유·가스 이름있다고 상한가”...잘못 손대면 ‘쓴맛’ 본다
폭등,2025-02-28 10:57:00,221800,92,4,흔드는거보니 다음주 폭등준비 1차목표 만원
폭등,2025-06-24 12:49:00,083420,56,1,환장하겠네   어제  폭락하고   오늘  지수폭등중인데  에어레인 오른다
폭등,2020-06-17 08:10:00,001525,91,0,유럽증시. 미국증시 개폭등 마감!
급등,2024-03-10 00:35:00,010820,1398,4,금년도 방산주 초급등 사유 발생
급등,2021-06-15 00:31:00,299660,661,2,"셀리드 급등만 남았다. 셀리드 시총1조 2906억, 모더나 벤쳐기업에서 정부지원 받고 시총98조, 화이자 시총 251조"
급등,2024-12-13 07:14:00,112610,155,0,이번주 윤두환 탄핵되면 바로 RE100대장주로 급등한다
대박,2024-01-19 18:03:00,028670,509,3,대박  인수 걱정무
대박,2022-03-21 15:18:00,302440,306,2,와 절대 못가게 막는거 진짜 대박 머싯엉~~
대박,2024-01-24 14:26:00,016790,101,1,대박 1524주 2000주
대박,2021-12-07 14:28:00,249420,98,0,대박낫네
로또,2020-06-16 14:16:00,010145,145,0,완전 로또네.
테마,2023-11-09 12:45:00,413640,193,2,한동훈 테마주 엮일 수도
테마,2023-07-31 08:35:00,065350,213,0,테마주 전문 - 미국에서 테스트해서 실패라고 나오기 전까지 살아 있음
지금,2024-07-23 07:56:00,035250,207,3,미치것 읍니다. 지금 10140원 까지 매입을 기다리는대 전문가님들 언제나 오나요
지금,2021-01-05 12:13:00,007570,225,2,다시 올립니다 잘생각해보세요 지금 가치가 맞는지
지금,2023-09-13 14:39:00,247540,120,2,씨젠가서 니들 미래 지금 보고와라
지금,2025-04-02 12:54:00,036570,112,2,물린사람들은 그렇다치고 지금 사는 사람들은 뭐지
지금,2022-04-05 09:53:00,093370,264,0,지금이라도 매수해 ㅋ ㅋ
지금,2020-09-14 11:02:00,096770,250,0,지금이 기회
지금,2023-11-13 10:42:00,299030,234,0,지금 빤쓰까지 팔아서 사봐라
지금,2021-10-28 14:20:00,005930,232,0,내일 또 원위치 지금 팔아라!
지금,2025-05-26 17:34:00,042940,77,1,홍 씨가 해외에서 지금 털어먹고
지금,2022-10-06 09:59:00,081150,2,0,어갈간(지금같은 장에는 파악을 잘해야합니다)
가즈아,2021-03-28 17:48:00,101360,258,0,드디어~~~ 가즈아!!!
가즈아,2021-09-29 10:06:00,036570,211,0,오늘 하한가 가즈아 딱 40만원 좋다 ㅎㅎ
가즈아,2026-01-08 12:03:00,950160,196,0,슬슬 자리 잡아가는듯..가격조정 받을마큼 받고..만들어 가즈아..상반기 10만이상
가즈아,2021-02-09 10:23:00,234100,88,0,상한가가즈아~~
무조건,2020-02-07 11:06:00,026890,216,0,리딩방 절대 가지마세요!! 무조건 잃습니다...
무조건,2023-02-20 17:17:00,016790,94,0,내일 무조건 나와 
무조건,2020-11-30 08:59:00,096530,40,0,♥무조건 상매도♥
확정,2022-11-15 15:40:00,019570,202,1,세력형들 내년 금투세 확정이면
손절,2021-04-17 20:48:00,950170,164,2,당장이라도 손절하고 
손절,2023-01-03 10:25:00,277810,128,1,손절치는 자는 삼류다
손절,2023-07-03 15:39:00,016710,210,0,14000원대 손절한 안티들만...디글디글하네
물렸,2023-11-07 11:15:00,086520,249,2,90만원에 물렸따씨..
물렸,2022-08-29 14:21:00,323990,98,0,세력들도 물렸다. 믿어 보십다!!!
물렸,2024-06-03 11:43:00,025320,42,0,물렸네
폭락,2021-09-18 21:19:00,005930,632,0,"자산가격폭락시, 재벌은 현금으로 이삭줍기나선다"
폭락,2021-03-14 18:38:00,114120,433,0,챠트가  또다시 폭락으로 갈  그림인데
폭락,2022-09-14 13:36:00,052020,171,0,폭락을 해야 반등한다
폭락,2020-10-12 09:59:00,042940,170,0,■■폭락은 순리다.&진리다.
폭락,2025-06-24 12:49:00,083420,56,1,환장하겠네   어제  폭락하고   오늘  지수폭등중인데  에어레인 오른다
폭락,2022-10-25 16:15:00,005930,50,1,나라꼴 한순간이군 주식시장폭락 수출입대적자
반대매매,2024-08-22 10:32:00,025440,131,0,IbK반대매매 다빠졌으니
유증,2023-04-08 20:54:00,254120,853,1,유증 신주인수권
